Name,Type,Average AA,Use,Recipes
Charles Faram - Flyer,Leaf/Whole,9,Boil,21
Charles Faram - Fuggles,Pellet,5.4,Boil,269
Charles Faram - Fusion,Leaf/Whole,5.8,Boil,8
Charles Faram - Galaxy,Leaf/Whole,14.4,Whirlpool,71
Charles Faram - Galena,Pellet,11.9,Dry Hop,21
Charles Faram - Glacier,Pellet,5.5,Boil,3
Charles Faram - Godiva,Pellet,7.6,Dry Hop (High Krausen),129
Charles Faram - Goldings,Pellet,6,Boil,90
Charles Faram - Green Bullet,Pellet,11.6,Boil,37
Charles Faram - Hallertau Blanc,Lupulin Pellet,11.9,Boil,57
Charles Faram - Harlequin,Leaf/Whole,10,First Wort,6
Charles Faram - Harmonie,Pellet,6,Boil,2
Charles Faram - Herkules,Pellet,18,Boil,51
Charles Faram - Hersbrucker,Pellet,3,Boil,51
Charles Faram - Huell Melon,Pellet,6.7,Boil,58
Charles Faram - Idaho 7,Pellet,11.3,Whirlpool,466
Charles Faram - Jarrylo,Pellet,15.9,Dry Hop,18
Charles Faram - Jester,Leaf/Whole,8.2,Boil,663
Charles Faram - Junga,Leaf/Whole,11.4,Boil,54
Charles Faram - Kazbek,Leaf/Whole,6.1,Whirlpool,43
Charles Faram - Kohatu,Pellet,6,Dry Hop,19
Charles Faram - Krpan,Leaf/Whole,11.8,Boil,4
Charles Faram - Lemondrop,Pellet,5.8,Boil,29
Charles Faram - Liberty,Leaf/Whole,4.7,Boil,27
Charles Faram - Lubelski,Pellet,4.2,Boil,283
Charles Faram - Magnum,Leaf/Whole,12.8,Boil,789
Charles Faram - Mandarina Bavaria,Leaf/Whole,10.3,Hopback,100
Charles Faram - Marynka,Pellet,8.4,Boil,98
Charles Faram - Millennium,Leaf/Whole,17.9,Boil,1
Charles Faram - Minstrel,Pellet,5.6,Boil,37
Charles Faram - Mistral,Pellet,7.1,Dry Hop,210
Charles Faram - Mittelfruh,Pellet,4.5,Boil,92
Charles Faram - Mosaic,Leaf/Whole,11.9,Whirlpool,390
Charles Faram - Most,Leaf/Whole,9,First Wort,8
Charles Faram - Motueka,Pellet,6.3,Boil,126
Charles Faram - Mount Hood,Leaf/Whole,5.5,Boil,9
Charles Faram - Moutere,Pellet,18.7,Aroma,5
Charles Faram - Mystic,Leaf/Whole,4.6,Boil,85
Charles Faram - Nelson Sauvin,Pellet,11.4,Boil,211
Charles Faram - Newport,Pellet,11.1,Boil,1
Charles Faram - Northdown,Pellet,7,Boil,47
Charles Faram - Northern Brewer,Pellet,6.5,Boil,207
Charles Faram - Nugget,Pellet,12.2,Boil,146
